"toTokenAddress","chainName"
"0xc0634090f2fe6c6d75e61be2b949464abb498973",base-mainnet
"0xcc4adb618253ed0d4d8a188fb901d70c54735e03",base-mainnet
"0x03b52192cac861b008d53f89240132d175bc8308",base-mainnet
"0x40e3eddf6d253bb734381a309437428f121c594b",base-mainnet
"0x397af86a35288f7a219febaab34f9b947d4d772d",base-mainnet
"0x9aa3bcf7deb222fd211829a4e34135eeabd0833c",base-mainnet
"0x46cc4e6f1ef87c937667f0259ee0f689f1cd5e31",base-mainnet
"0x34a7186ec2c5a79baf65d971b5801b8daa58101c",base-mainnet
"0xc71f88d056ce52917b1983515d7550e0ce906f0e",base-mainnet
"0x282565dde7afeb934334fcdf7ab30a8a07285180",base-mainnet
"0x93661c6635f91fa4c1b34ae86489dd08f5be89ee",base-mainnet
"0xb3b32f9f8827d4634fe7d973fa1034ec9fddb3b3",base-mainnet
"0x2e95ea20bda3c7202d7f319e8b49a8a33c7c4f9f",base-mainnet
"0xc24d52e3d3a36e9481af0715180e530cbe4667ca",ethereum-mainnet
"0x391359ab0ccef572dcac78f74e47d7c06db0b982",base-mainnet
"0x20ad9d807644fc6d89f680851253a1ddc174dc1c",base-mainnet
"0x224a21a6d3bb6fd2497731dfb2ebd052aef46776",base-mainnet
"0x18aaa7115705e8be94bffebde57af9bfc265b998",ethereum-mainnet
"0x12296323ff910c9c610e380d65b465f042ede9cf",base-mainnet
"0xc0041ef357b183448b235a8ea73ce4e4ec8c265f",base-mainnet
"0x768be13e1680b5ebe0024c42c896e3db59ec0149",base-mainnet
"0x3c8cd0db9a01efa063a7760267b822a129bc7dca",base-mainnet
"0x74e0776c273822c1a7806c54b4b83cd27f75b318",ethereum-mainnet
"0x511ef9ad5e645e533d15df605b4628e3d0d0ff53",base-mainnet
"0x215d3783a05d9059220e76aa92c6fd86ed67bfdb",base-mainnet
"0x000000000000012def132e61759048be5b5c6033",base-mainnet
"0x23d53ce3fb6042f554f2ee39c2e61dab640fe04e",base-mainnet
"0x36ede8f188161423640ad60d6930587037cd7584",base-mainnet
"0x001271375a3c926492708643205b02a5a45436cc",base-mainnet
"0x731814e491571a2e9ee3c5b1f7f3b962ee8f4870",base-mainnet
"0x32d9ab10f7651c3999af3163e2f24bf1ec3a5eef",base-mainnet
"0x5236868e865aa02019a8dfaff009a44cc3d5addf",base-mainnet
"0x5206ad49104f9dddd24a99251def837270cf1d08",base-mainnet
"0xb9d744c962e580376c5b5f2fbbe07b3498c55fec",base-mainnet
"0x0db510e79909666d6dec7f5e49370838c16d950f",base-mainnet
"0x252ef3937e65ed9aa88a2708183e7faff4f5da8f",base-mainnet
"0xba9b81c2e5ffaf5fe51c7aa6a94747e00429fe18",ethereum-mainnet
"0xb89d354ad1b0d95a48b3de4607f75a8cd710c1ba",base-mainnet
"0x0578d8a44db98b23bf096a382e016e29a5ce0ffe",base-mainnet
"0xca0c7026a290a796d264f4a3e03515172f785561",base-mainnet
"0x98d0baa52b2d063e780de12f615f963fe8537553",base-mainnet
"0x134b78e87f8531f6f46319a6b2871544b4204359",base-mainnet
"0x1d84234cee7cc2fe57394e3de28a39db20377478",base-mainnet
"0xccb365d2e11ae4d6d74715c680f56cf58bf4bf10",ethereum-mainnet
"0x09d7040d24e636588669381eee22fb31f00fa5d5",base-mainnet
"0x17acac883289a6aa15fada359e2e53d0f27caece",base-mainnet
"0x79dacb99a8698052a9898e81fdf883c29efb93cb",base-mainnet
"0xdaf8f464b1b38d640157cc62d815a72edcb19908",base-mainnet
"0x15bbf2456218d6bd585b118783acb4f8bf4e2daf",base-mainnet
"0x478e03d45716dda94f6dbc15a633b0d90c237e2f",base-mainnet
"0x1e4d14cf601bf508a3cc736778f0e0896339b446",base-mainnet
"0x3655e6c732ff205dcbcb9cb125b3c304f6d3dd52",base-mainnet
"0xcf29d2de91d04b951b0bb58a81f181bc994a015b",base-mainnet
"0x98d59767cd1335071a4e9b9d3482685c915131e8",base-mainnet
"0x60f8fcb6710480b151154a65521f3eff4ac4ceae",base-mainnet
"0x39ca2be58c803b743ead08257733ed067dbba8fe",base-mainnet
"0x2fdff9cbaef71ac289c80abb47de08647ed0b1c4",base-mainnet
"0x0028e1e60167b48a938b785aa5292917e7eaca8b",base-mainnet
"0x16d7dd01645db92ec69521f621f72a576ebe1ac0",base-mainnet
"0x54b659832f59c24cec0e4a2cd193377f1bcefc3c",base-mainnet
"0x0000000000c5dc95539589fbd24be07c6c14eca4",ethereum-mainnet
"0x0acb8f6a6f1a8df2b4846db0352caaa01d854bf8",base-mainnet
"0x09c2c08de65b5afe927236e0a2ced298c5d2feba",base-mainnet
"0x95e09a5dd88689954006cdb24685637a7ad50939",base-mainnet
"0x10c6cc47e76de3a4c81af20a823296ce4f676899",base-mainnet
"0xc655c331d1aa7f96c252f1f40ce13d80eac53504",base-mainnet
"0x174fd685e17233be891d24bb5940d4c0601e3ce7",base-mainnet
"0x4042802a128b66764aed6acbaa0066502e834382",base-mainnet
"0x403ca448dbfd462b8c625fabc29edafef82b44d0",base-mainnet
"0xef0b105b4f2ce61d2a7ae62d03b1f4cb6c4fbeec",base-mainnet
"0x17d70172c7c4205bd39ce80f7f0ee660b7dc5a23",base-mainnet
"0x23a96680ccde03bd4bdd9a3e9a0cb56a5d27f7c9",base-mainnet
"0x452867ec20dc5061056c1613db2801f512dda1c1",base-mainnet
"0xf1fc9580784335b2613c1392a530c1aa2a69ba3d",base-mainnet
"0x1185cb5122edad199bdbc0cbd7a0457e448f23c7",base-mainnet
"0xe68c6c552a2363c0b546eda749c6eadd909e2831",base-mainnet
"0xb79f3396d709cd528db7f579ea1702e5c221c6a7",base-mainnet
"0x41a188b74ffbcea2bd548644853d26ab0755cdb9",base-mainnet
"0x29e47cc8ee22edb192446aa34f67f1137e4e51d7",base-mainnet
"0x1e156785ad2b31a4750c59bd6e6d25b02feb1254",ethereum-mainnet
"0x2e9f7eb0163b1b7df3f3a346ed74bd57b3fc766b",base-mainnet
"0x40409d08e2c8ed152d925a582f0723e87f084238",base-mainnet
"0xb4d4ff3fcbd6965962a79229aa94631d394217cb",base-mainnet
"0x37fb2cfbd83dcd046f26645695f28a512a334225",base-mainnet
"0x14904701edf078fe597776b2f9d1c7568731ff23",base-mainnet
"0xab9aff6f259787300bbb16dd1fa0c622426aa169",base-mainnet
"0x8c9037d1ef5c6d1f6816278c7aaf5491d24cd527",base-mainnet
"0x054c9d4c6f4ea4e14391addd1812106c97d05690",ethereum-mainnet
"0xa4a2e2ca3fbfe21aed83471d28b6f65a233c6e00",base-mainnet
"0x2bc08a6583f9bb980f26114c6b513252942e946f",base-mainnet
"0x2b5050f01d64fbb3e4ac44dc07f0732bfb5ecadf",base-mainnet
